# Model + Flicker Noise with total variance = 50.0, half of which is Gaussian white noise.
# Time 	 Value 
174	92.0096802851
175	88.1336424884
176	109.404762552
177	100.423428487
178	97.0605934296
179	104.329292445
180	105.830264871
181	106.804967226
182	103.190912449
183	102.533709655
184	95.3432445697
185	112.643542885
186	106.273022315
187	99.1846919314
188	112.303900789
189	106.257664556
190	108.08825261
191	99.8372836859
192	104.633335595
193	107.812922401
194	95.6987508487
195	107.065787248
196	106.790416817
197	111.324725371
198	108.027648948
199	109.180195921
200	104.426369065
201	106.32195548
202	110.670437471
203	120.33253331
204	115.647717419
205	107.348143025
206	104.607815523
207	104.767456221
208	105.481425249
209	108.084919852
210	109.113545754
211	116.158331099
212	105.731022971
213	103.864420059
214	116.798601508
215	114.665984888
216	121.957109918
217	111.650680935
218	112.295471824
219	112.111405619
220	110.346810539
221	107.723152315
222	102.365302175
223	116.677978497
224	111.799605486
225	124.838777267
226	121.498780107
227	113.466312019
228	122.022648763
229	131.248023534
230	119.173836768
231	112.845635191
232	119.590963679
233	107.585552449
234	128.00818759
235	125.660674466
236	124.591416404
237	115.050900433
238	117.509291253
239	114.378572005
240	127.82364588
241	121.439553349
242	124.398154347
243	122.004809672
244	119.742303282
245	127.95610338
246	125.223435467
247	135.178644124
248	132.981991255
249	128.637557261
250	122.764331614
251	116.812843
252	127.636613114
253	121.35049609
254	123.369978313
255	129.070298196
256	132.075378888
257	126.228985572
258	138.301180156
259	137.826263235
260	127.307025148
261	133.712167884
262	135.872427249
263	144.836333195
264	139.402101141
265	125.916173094
266	144.440334669
267	146.751185741
268	141.055066551
269	130.814173027
270	128.015339463
271	135.675102752
272	139.624840517
273	149.458422591
274	137.13916139
275	139.048368279
276	136.847017404
277	141.682657741
278	137.054366878
279	123.442052565
280	141.802949034
281	137.442208998
282	140.897888468
283	136.059083918
284	144.173604338
285	143.841991999
286	132.721260399
287	143.286005581
288	141.156537827
289	140.855461087
290	138.830467521
291	142.054504248
292	133.431045757
293	137.27327259
294	152.991310382
295	149.280810743
296	150.988988247
297	159.975539198
298	154.605728331
299	144.536498946
300	144.485350087
301	150.777813374
302	153.00216137
303	158.286278757
304	155.274182684
305	153.510433631
306	151.637307287
307	157.989974576
308	157.171141369
309	139.905092039
310	153.958931075
311	158.21424749
312	142.725392778
313	145.117112396
314	153.907787912
315	160.633898122
316	141.921733248
317	145.926478892
318	150.384963334
319	146.109011714
320	145.983965815
321	143.739181725
322	158.110474608
323	158.439561798
324	170.129612883
325	170.963022877
326	158.223364708
327	171.070610998
328	152.522511141
329	156.972281245
330	162.682448882
331	165.578531429
332	156.20267755
333	171.163359894
334	168.606270087
335	171.299075392
336	172.128892694
337	174.015428266
338	173.062164344
339	178.995376268
340	167.311094226
341	172.405377852
342	165.657719902
343	177.171971324
344	172.037141725
345	179.201528653
346	176.150900833
347	172.481770972
348	185.002081538
349	180.106923009
350	177.855458418
351	192.038945061
352	184.121195245
353	179.432548876
354	178.542086956
355	174.413727749
356	177.445283496
357	175.291339284
358	182.838922162
359	179.16170186
360	181.619130898
361	177.698708857
362	183.958292745
363	175.523349959
364	176.269729692
365	179.160703124
366	184.275057674
367	186.614627939
368	189.565837329
369	186.140466929
370	174.130255832
371	188.610642566
372	190.668593743
373	189.16218208
374	191.0466974
375	190.402591222
376	189.377389745
377	188.624055974
378	189.408051606
379	185.462577849
380	194.662158017
381	194.52494633
382	199.403847268
383	189.773354331
384	191.166423104
385	192.193144004
386	197.553525846
387	197.705688805
388	193.855176479
389	191.769678633
390	189.162616704
391	198.598264478
392	204.025301389
393	197.684072872
394	198.464155258
395	206.645895598
396	198.625420755
397	201.551202416
398	194.119979965
399	198.562508222
400	196.519056794
401	197.752438241
402	194.440111716
403	193.372858572
404	205.828146295
405	194.859378478
406	201.300919518
407	209.565960435
408	202.251733964
409	209.112859855
410	200.715227378
411	206.808556308
412	207.983821038
413	207.160884017
414	203.288378302
415	214.399700934
416	214.303111079
417	214.770507213
418	200.275654881
419	219.274182366
420	213.878587745
421	208.303332883
422	206.87729565
423	210.878094367
424	225.359373382
425	211.421099681
426	221.278879414
427	210.223403816
428	215.056135662
429	217.361896373
430	231.284339642
431	225.013775004
432	226.860237048
433	221.971148145
434	221.339246584
435	227.45602619
436	222.80500739
437	221.183297141
438	218.531575094
439	223.349474672
440	209.531267781
441	211.136642859
442	221.802620109
443	222.298024609
444	235.95525084
445	229.503400402
446	224.552126479
447	230.019559203
448	221.003754237
449	229.967838254
450	225.211025544
451	226.616931883
452	235.319526677
453	228.064227879
454	234.986690025
455	236.195659458
456	229.771572776
457	237.960190819
458	248.158399811
459	232.403490456
460	239.133478533
461	237.306352764
462	239.589291628
463	234.018930894
464	239.979447362
465	228.412197499
466	229.129213412
467	223.561916071
468	234.919296208
469	234.863556718
470	239.612904541
471	246.247850496
472	240.968389251
473	236.605970248
474	230.80093294
475	238.255593584
476	238.975205722
477	234.051433535
478	237.122988346
479	239.74387092
480	247.780764967
481	232.292241886
482	242.052624012
483	250.318923922
484	254.978462703
485	249.449882016
486	236.598251053
487	253.364332748
488	246.759631812
489	241.6572028
490	259.179446196
491	252.666329651
492	254.757898682
493	246.883484206
494	252.661257001
495	256.225928247
496	264.480795965
497	261.181763368
498	248.64700311
499	263.934698358
